link
Lost Cities	2126	880	https://boardgamegeek.com/boardgame/50/lost-cities
Root	2104	1101	https://boardgamegeek.com/boardgame/237182/root
Just One	2092	1340	https://boardgamegeek.com/boardgame/254640/just-one
Quacks	2072	1486	https://boardgamegeek.com/boardgame/244521/quacks
Brass: Birmingham	2066	1399	https://boardgamegeek.com/boardgame/224517/brass-birmingham
Pixies	2060	936	https://boardgamegeek.com/boardgame/411875/pixies
Take 5	2046	1028	https://boardgamegeek.com/boardgame/432/take-5
Splendor Duel	2043	1171	https://boardgamegeek.com/boardgame/364073/splendor-duel
Welcome to the Moon	2036	738	https://boardgamegeek.com/boardgame/339789/welcome-to-the-moon
Fantasy Realms	2023	723	https://boardgamegeek.com/boardgame/223040/fantasy-realms
Dorfromantik: The Board Game	2017	703	https://boardgamegeek.com/boardgame/370591/dorfromantik-the-board-game
That's Pretty Clever!	1952	840	https://boardgamegeek.com/boardgame/244522/thats-pretty-clever
7 Wonders: Architects	1905	785	https://boardgamegeek.com/boardgame/346703/7-wonders-architects
HITSTER	1885	802	https://boardgamegeek.com/boardgame/318243/hitster
Welcome To...	1867	936	https://boardgamegeek.com/boardgame/233867/welcome-to
Dune: Imperium – Uprising	1859	1233	https://boardgamegeek.com/boardgame/397598/dune-imperium-uprising
Courtisans	1830	956	https://boardgamegeek.com/boardgame/402283/courtisans
Galactic Cruise	1806	1259	https://boardgamegeek.com/boardgame/391137/galactic-cruise
King of Tokyo	1788	850	https://boardgamegeek.com/boardgame/70323/king-of-tokyo
So Clover!	1774	833	https://boardgamegeek.com/boardgame/329839/so-clover
Scythe	1754	1110	https://boardgamegeek.com/boardgame/169786/scythe
Planet Unknown	1721	1092	https://boardgamegeek.com/boardgame/258779/planet-unknown
Turing Machine	1701	428	https://boardgamegeek.com/boardgame/356123/turing-machine
Similo	1698	478	https://boardgamegeek.com/boardgame/268620/similo
Gloomhaven	1691	504	https://boardgamegeek.com/boardgame/174430/gloomhaven
Spots	1687	847	https://boardgamegeek.com/boardgame/372559/spots
The Vale of Eternity	1680	1057	https://boardgamegeek.com/boardgame/385529/the-vale-of-eternity
Knarr	1659	882	https://boardgamegeek.com/boardgame/379629/knarr
ito	1654	566	https://boardgamegeek.com/boardgame/327778/ito
Wondrous Creatures	1651	1038	https://boardgamegeek.com/boardgame/400366/wondrous-creatures
Ticket to Ride: Europe	1628	1034	https://boardgamegeek.com/boardgame/14996/ticket-to-ride-europe
No Thanks!	1620	729	https://boardgamegeek.com/boardgame/12942/no-thanks
Solstis	1613	289	https://boardgamegeek.com/boardgame/411255/solstis
Jaipur	1593	888	https://boardgamegeek.com/boardgame/54043/jaipur
Daybreak	1590	685	https://boardgamegeek.com/boardgame/334986/daybreak
UNO	1585	409	https://boardgamegeek.com/boardgame/2223/uno
Super Mega Lucky Box	1578	494	https://boardgamegeek.com/boardgame/341530/super-mega-lucky-box
Odin	1567	737	https://boardgamegeek.com/boardgame/406854/odin
The Castles of Burgundy: Special Edition	1558	1038	https://boardgamegeek.com/boardgame/363622/the-castles-of-burgundy-special-edition
Regicide	1557	526	https://boardgamegeek.com/boardgame/307002/regicide
Fromage	1536	868	https://boardgamegeek.com/boardgame/384213/fromage
Next Station: London	1516	634	https://boardgamegeek.com/boardgame/353545/next-station-london
The Castles of Burgundy	1514	825	https://boardgamegeek.com/boardgame/271320/the-castles-of-burgundy
Lucky Numbers	1499	352	https://boardgamegeek.com/boardgame/118247/lucky-numbers
Skull King	1487	834	https://boardgamegeek.com/boardgame/150145/skull-king
A Gentle Rain	1483	489	https://boardgamegeek.com/boardgame/334011/a-gentle-rain
Yahtzee	1468	428	https://boardgamegeek.com/boardgame/2243/yahtzee
Hanabi	1452	514	https://boardgamegeek.com/boardgame/98778/hanabi
Ticket to Ride Legacy: Legends of the West	1441	631	https://boardgamegeek.com/boardgame/390092/ticket-to-ride-legacy-legends-of-the-west
Obsession	1438	787	https://boardgamegeek.com/boardgame/231733/obsession
Wyrmspan	1436	1024	https://boardgamegeek.com/boardgame/410201/wyrmspan
Revive	1425	828	https://boardgamegeek.com/boardgame/332772/revive
Santorini	1408	499	https://boardgamegeek.com/boardgame/194655/santorini
Sushi Go!	1388	714	https://boardgamegeek.com/boardgame/133473/sushi-go
Civolution	1383	857	https://boardgamegeek.com/boardgame/400602/civolution
Apiary	1376	898	https://boardgamegeek.com/boardgame/400314/apiary
Arcs	1371	1028	https://boardgamegeek.com/boardgame/359871/arcs
King of Tokyo: Duel	1365	443	https://boardgamegeek.com/boardgame/422484/king-of-tokyo-duel
Love Letter	1352	706	https://boardgamegeek.com/boardgame/129622/love-letter
Compile: Main 1	1350	654	https://boardgamegeek.com/boardgame/406652/compile-main-1
Qwixx	1343	588	https://boardgamegeek.com/boardgame/131260/qwixx
Gloomhaven: Jaws of the Lion	1337	544	https://boardgamegeek.com/boardgame/291457/gloomhaven-jaws-of-the-lion
Aeon's End	1320	478	https://boardgamegeek.com/boardgame/191189/aeons-end
Draftosaurus	1318	656	https://boardgamegeek.com/boardgame/264055/draftosaurus
Spicy	1317	497	https://boardgamegeek.com/boardgame/299169/spicy
Railroad Ink: Deep Blue Edition	1316	363	https://boardgamegeek.com/boardgame/245654/railroad-ink-deep-blue-edition
Rummikub	1293	523	https://boardgamegeek.com/boardgame/811/rummikub
Darwin's Journey	1270	765	https://boardgamegeek.com/boardgame/322289/darwins-journey
CuBirds	1263	534	https://boardgamegeek.com/boardgame/245476/cubirds
Viticulture Essential Edition	1262	897	https://boardgamegeek.com/boardgame/183394/viticulture-essential-edition
For Sale	1261	655	https://boardgamegeek.com/boardgame/172/for-sale
Coffee Rush	1248	761	https://boardgamegeek.com/boardgame/377061/coffee-rush
Zenith	1245	417	https://boardgamegeek.com/boardgame/424219/zenith
The Quest for El Dorado	1241	831	https://boardgamegeek.com/boardgame/217372/the-quest-for-el-dorado
365 Adventures: The Dungeon – 2025	1240	62	https://boardgamegeek.com/boardgame/424055/365-adventures-the-dungeon-2025
Deep Regrets	1239	880	https://boardgamegeek.com/boardgame/397931/deep-regrets
Cribbage	1237	330	https://boardgamegeek.com/boardgame/2398/cribbage
Mindbug: First Contact	1232	344	https://boardgamegeek.com/boardgame/345584/mindbug-first-contact
Strike	1229	305	https://boardgamegeek.com/boardgame/123570/strike
Cities	1210	830	https://boardgamegeek.com/boardgame/402676/cities
L.L.A.M.A.	1198	537	https://boardgamegeek.com/boardgame/266083/llama
Verdant	1197	562	https://boardgamegeek.com/boardgame/334065/verdant
Clank!: A Deck-Building Adventure	1192	680	https://boardgamegeek.com/boardgame/201808/clank-a-deck-building-adventure
Grand Austria Hotel	1190	799	https://boardgamegeek.com/boardgame/182874/grand-austria-hotel
Akropolis	1184	648	https://boardgamegeek.com/boardgame/357563/akropolis
Res Arcana	1181	639	https://boardgamegeek.com/boardgame/262712/res-arcana
Pirates of Maracaibo	1181	677	https://boardgamegeek.com/boardgame/397385/pirates-of-maracaibo
Pandemic	1171	665	https://boardgamegeek.com/boardgame/30549/pandemic
Skyjo	1150	592	https://boardgamegeek.com/boardgame/204135/skyjo
Great Western Trail: El Paso	1147	740	https://boardgamegeek.com/boardgame/431305/great-western-trail-el-paso
